# 	 DM 	 SNR 	 Arrival Time (sec)
133 	 36.66 	 4.41 	 3.9322
134 	 36.66 	 4.07 	 4.3096
135 	 39.89 	 4.63 	 4.7605
136 	 39.35 	 4.68 	 3.7224
137 	 40.43 	 4.83 	 4.3096
138 	 40.43 	 4.49 	 4.7710
139 	 40.97 	 4.39 	 4.0160
140 	 42.05 	 4.86 	 4.2258
141 	 44.74 	 4.17 	 4.1419
142 	 45.28 	 4.26 	 3.9741
143 	 45.28 	 4.75 	 4.4250
144 	 45.28 	 5.04 	 4.6766
145 	 50.13 	 4.25 	 4.5194
146 	 52.29 	 4.32 	 4.3935
147 	 53.37 	 4.09 	 3.8902
148 	 53.37 	 4.07 	 4.0999
149 	 54.98 	 4.14 	 4.4355
150 	 57.14 	 4.07 	 4.8130
151 	 57.14 	 4.53 	 4.9388
152 	 60.91 	 4.59 	 4.3935
153 	 60.37 	 4.87 	 3.6386
154 	 60.37 	 4.40 	 4.0160
155 	 64.69 	 4.30 	 4.5928
156 	 71.15 	 4.99 	 4.4879
157 	 71.69 	 4.10 	 4.5194
158 	 72.77 	 4.68 	 3.6805
159 	 73.31 	 4.02 	 4.0160
160 	 76.55 	 4.33 	 3.6700
161 	 77.08 	 4.01 	 4.2258
162 	 84.63 	 4.17 	 4.0580
163 	 91.64 	 4.40 	 4.7605
164 	 90.56 	 4.63 	 3.8483
165 	 93.79 	 4.45 	 4.3516
166 	 94.33 	 4.15 	 4.8549
167 	 95.41 	 4.48 	 4.6452
168 	 95.95 	 4.41 	 4.0160
169 	 99.72 	 4.42 	 4.1838
170 	 101.88 	 4.04 	 4.9388
171 	 102.42 	 4.36 	 4.4774
172 	 102.96 	 4.28 	 3.6386
173 	 103.50 	 4.27 	 4.0894
174 	 103.50 	 4.12 	 4.6452
175 	 107.81 	 4.04 	 4.5613
176 	 109.97 	 4.26 	 4.2258
177 	 110.51 	 4.14 	 4.8968
178 	 114.82 	 4.38 	 4.0160
179 	 114.28 	 4.55 	 4.3411
180 	 119.13 	 4.44 	 4.7291
181 	 122.90 	 4.46 	 4.7605
182 	 127.22 	 4.08 	 3.8483
183 	 129.37 	 4.19 	 3.6805
184 	 129.37 	 4.18 	 4.5194
185 	 132.61 	 4.21 	 3.6386
